"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.81","69.196.227.78","TCP","54","58982 > 443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"2","0.018715","69.196.227.78","192.168.1.81","TCP","60","[TCP ACKed unseen segment] 443 > 58982 [ACK] Seq=1 Ack=2 Win=40958 Len=0"
"8","0.578385","192.168.1.81","192.168.1.211","TCP","181","[TCP segment of a reassembled PDU]"
"9","0.581036","192.168.1.211","192.168.1.81","TCP","99","[TCP segment of a reassembled PDU]"
"10","0.581075","192.168.1.81","192.168.1.211","TCP","66","58547 > 8009 [ACK] Seq=116 Ack=34 Win=4094 Len=0 TSval=247164671 TSecr=7019238"
"11","0.581491","192.168.1.211","192.168.1.81","TCP","177","[TCP segment of a reassembled PDU]"
"12","0.581518","192.168.1.81","192.168.1.211","TCP","66","58547 > 8009 [ACK] Seq=116 Ack=145 Win=4092 Len=0 TSval=247164671 TSecr=7019238"
"13","0.696903","64.233.171.189","192.168.1.81","TLSv1.2","126","Application Data"
"14","0.696962","192.168.1.81","64.233.171.189","TCP","66","58525 > 443 [ACK] Seq=1 Ack=61 Win=4094 Len=0 TSval=247164786 TSecr=2223923765"
"15","1.594362","192.168.1.81","64.233.171.95","TCP","54","58918 > 443 [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"16","1.622315","64.233.171.95","192.168.1.81","TCP","66","[TCP ACKed unseen segment] 443 > 58918 [ACK] Seq=1 Ack=2 Win=358 Len=0 TSval=2442827326 TSecr=246939963"
"19","2.500104","192.168.1.81","176.32.98.166","TCP","78","58988 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=247166582 TSecr=0 SACK_PERM=1"
"20","2.516712","176.32.98.166","192.168.1.81","TCP","62","80 > 58988 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460 WS=64"
"21","2.516771","192.168.1.81","176.32.98.166","TCP","54","58988 > 80 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"22","2.516881","192.168.1.81","176.32.98.166","HTTP","443","GET / HTTP/1.1 "
"23","2.540566","176.32.98.166","192.168.1.81","HTTP","526","HTTP/1.1 301 Moved Permanently  (text/html)"
"24","2.540660","192.168.1.81","176.32.98.166","TCP","54","58988 > 80 [ACK] Seq=390 Ack=473 Win=261664 Len=0"
"27","2.574254","192.168.1.81","176.32.98.166","TCP","78","58989 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=247166654 TSecr=0 SACK_PERM=1"
"28","2.593609","176.32.98.166","192.168.1.81","TCP","62","80 > 58989 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460 WS=64"
"29","2.593702","192.168.1.81","176.32.98.166","TCP","54","58989 > 80 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"30","2.593866","192.168.1.81","176.32.98.166","HTTP","447","GET / HTTP/1.1 "
"31","2.603740","192.168.1.81","64.233.171.95","TCP","54","58919 > 443 [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"32","2.638593","64.233.171.95","192.168.1.81","TCP","66","[TCP ACKed unseen segment] 443 > 58919 [ACK] Seq=1 Ack=2 Win=375 Len=0 TSval=2377535776 TSecr=246940899"
"33","2.644495","176.32.98.166","192.168.1.81","HTTP","1224","HTTP/1.1 302 MovedTemporarily  (text/html)"
"34","2.644564","192.168.1.81","176.32.98.166","TCP","54","58989 > 80 [ACK] Seq=394 Ack=1171 Win=260960 Len=0"
"35","2.648003","192.168.1.81","176.32.98.166","TCP","78","58990 > 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=247166724 TSecr=0 SACK_PERM=1"
"36","2.663505","176.32.98.166","192.168.1.81","TCP","62","443 > 58990 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460 WS=64"
"37","2.663566","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"38","2.663758","192.168.1.81","176.32.98.166","TLSv1.2","265","Client Hello"
"39","2.678569","176.32.98.166","192.168.1.81","TCP","60","443 > 58990 [ACK] Seq=1 Ack=212 Win=2096896 Len=0"
