"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.039993000","172.20.7.83","31.13.71.1","TLSv1.2","280","Application Data"
"4","0.040073000","172.20.7.83","31.13.71.1","TLSv1.2","1177","Application Data"
"5","0.147705000","172.20.7.83","119.254.11.66","TCP","54","56052 > 80 [ACK] Seq=1 Ack=1 Win=4117 Len=0"
"6","0.190860000","172.20.7.83","117.135.175.158","TCP","54","56185 > 80 [ACK] Seq=1 Ack=1 Win=8192 Len=0"
"7","0.194351000","172.20.7.83","117.135.175.158","TCP","54","56186 > 80 [ACK] Seq=1 Ack=1 Win=8192 Len=0"
"8","0.198987000","172.20.7.83","117.135.175.158","TCP","54","56187 > 80 [ACK] Seq=1 Ack=1 Win=8192 Len=0"
"9","0.466557000","172.20.7.83","31.13.71.1","TLSv1.2","1391","[TCP Retransmission] Application Data, Application Data"
"10","0.500479000","216.58.216.206","172.20.7.83","TCP","66","443 > 55966 [ACK] Seq=1 Ack=1 Win=483 Len=0 TSval=3192835723 TSecr=1626007875"
"11","0.535843000","31.13.71.1","172.20.7.83","TLSv1.2","108","Application Data"
"12","0.535923000","172.20.7.83","31.13.71.1","TCP","66","50845 > 443 [ACK] Seq=1326 Ack=43 Win=1095 Len=0 TSval=1626188803 TSecr=1669045627"
"13","0.608533000","31.13.71.1","172.20.7.83","TCP","66","[TCP Window Update] 443 > 50845 [ACK] Seq=43 Ack=1326 Win=2043 Len=0 TSval=1669045692 TSecr=1626188734"
"14","0.643662000","31.13.71.1","172.20.7.83","TLSv1.2","626","Application Data"
"15","0.643667000","31.13.71.1","172.20.7.83","TCP","1464","[TCP segment of a reassembled PDU]"
"16","0.643707000","31.13.71.1","172.20.7.83","TLSv1.2","285","Application Data"
"17","0.643708000","31.13.71.1","172.20.7.83","TLSv1.2","114","Application Data"
"18","0.643858000","172.20.7.83","31.13.71.1","TCP","66","50845 > 443 [ACK] Seq=1326 Ack=603 Win=1078 Len=0 TSval=1626188910 TSecr=1669045732"
"19","0.643858000","172.20.7.83","31.13.71.1","TCP","66","50845 > 443 [ACK] Seq=1326 Ack=2220 Win=1027 Len=0 TSval=1626188910 TSecr=1669045732"
"20","0.643859000","172.20.7.83","31.13.71.1","TCP","66","50845 > 443 [ACK] Seq=1326 Ack=2268 Win=1026 Len=0 TSval=1626188910 TSecr=1669045732"
"21","0.834048000","119.254.11.66","172.20.7.83","TCP","66","[TCP ACKed unseen segment] 80 > 56052 [ACK] Seq=1 Ack=2 Win=8326 Len=0 TSval=2770078420 TSecr=1625841307"
"22","0.834129000","172.20.7.83","119.254.11.66","TCP","66","[TCP Previous segment not captured] 56052 > 80 [FIN, ACK] Seq=2 Ack=1 Win=4117 Len=0 TSval=1626189099 TSecr=2770078420"
"23","0.901299000","108.160.167.175","172.20.7.83","TLSv1","391","Application Data"
"24","0.901392000","172.20.7.83","108.160.167.175","TCP","66","52944 > 443 [ACK] Seq=1 Ack=326 Win=4085 Len=0 TSval=1626189166 TSecr=503876051"
"25","0.907047000","172.20.7.83","108.160.167.175","TLSv1","460","Application Data, Application Data"
"26","1.030582000","108.160.167.175","172.20.7.83","TCP","66","443 > 52944 [ACK] Seq=326 Ack=395 Win=83 Len=0 TSval=503876083 TSecr=1626189171"
"27","1.267506000","119.254.11.66","172.20.7.83","ICMP","94","Destination unreachable (Host administratively prohibited)"
"28","1.465996000","172.20.7.83","119.254.11.66","TCP","54","56060 > 80 [ACK] Seq=1 Ack=1 Win=4117 Len=0"
"32","1.711192000","172.20.7.83","216.58.216.206","TCP","78","56713 > 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626189974 TSecr=0 SACK_PERM=1"
"34","1.712172000","172.20.7.83","74.125.226.82","TCP","78","56714 > 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626189975 TSecr=0 SACK_PERM=1"
"35","1.762938000","216.58.216.206","172.20.7.83","TCP","74","443 > 56713 [SYN, ACK] Seq=0 Ack=1 Win=42540 Len=0 MSS=1430 SACK_PERM=1 TSval=3192809073 TSecr=1626189974 WS=128"
"36","1.763027000","172.20.7.83","216.58.216.206","TCP","66","56713 > 443 [ACK] Seq=1 Ack=1 Win=131872 Len=0 TSval=1626190025 TSecr=3192809073"
"37","1.764172000","172.20.7.83","216.58.216.206","TLSv1.2","583","Client Hello"
"38","1.811271000","216.58.216.206","172.20.7.83","TCP","66","443 > 56713 [ACK] Seq=1 Ack=518 Win=43648 Len=0 TSval=3192809125 TSecr=1626190026"
"39","1.811451000","216.58.216.206","172.20.7.83","TLSv1.2","220","Server Hello, Change Cipher Spec, Hello Request, Hello Request"
"40","1.811517000","172.20.7.83","216.58.216.206","TCP","66","56713 > 443 [ACK] Seq=518 Ack=155 Win=131712 Len=0 TSval=1626190073 TSecr=3192809125"
"41","1.812097000","172.20.7.83","216.58.216.206","TLSv1.2","282","Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"42","1.863217000","216.58.216.206","172.20.7.83","TLSv1.2","122","Application Data"
"43","1.863297000","172.20.7.83","216.58.216.206","TCP","66","56713 > 443 [ACK] Seq=734 Ack=211 Win=131648 Len=0 TSval=1626190124 TSecr=3192809170"
"44","1.863386000","216.58.216.206","172.20.7.83","TLSv1.2","108","Application Data"
"45","1.863419000","172.20.7.83","216.58.216.206","TCP","66","56713 > 443 [ACK] Seq=734 Ack=253 Win=131616 Len=0 TSval=1626190124 TSecr=3192809170"
"46","1.864290000","74.125.226.82","172.20.7.83","TCP","74","443 > 56714 [SYN, ACK] Seq=0 Ack=1 Win=42540 Len=0 MSS=1430 SACK_PERM=1 TSval=2513387048 TSecr=1626189975 WS=128"
"47","1.864348000","172.20.7.83","74.125.226.82","TCP","66","56714 > 443 [ACK] Seq=1 Ack=1 Win=131872 Len=0 TSval=1626190125 TSecr=2513387048"
"48","1.884085000","172.20.7.83","74.125.226.82","TLSv1.2","583","Client Hello"
"51","1.902042000","119.254.11.66","172.20.7.83","TCP","66","[TCP ACKed unseen segment] 80 > 56060 [ACK] Seq=1 Ack=2 Win=8326 Len=0 TSval=798896205 TSecr=1625842310"
"52","1.902142000","172.20.7.83","119.254.11.66","TCP","66","[TCP Previous segment not captured] 56060 > 80 [FIN, ACK] Seq=2 Ack=1 Win=4117 Len=0 TSval=1626190162 TSecr=798896205"
"54","1.935087000","172.20.7.83","111.206.227.118","TCP","78","56715 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190194 TSecr=0 SACK_PERM=1"
"55","2.011980000","172.20.7.83","66.29.212.110","TCP","78","56716 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190269 TSecr=0 SACK_PERM=1"
"56","2.023888000","172.20.7.83","72.21.91.8","TCP","78","56717 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190282 TSecr=0 SACK_PERM=1"
"57","2.024160000","172.20.7.83","72.21.91.8","TCP","78","56718 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190282 TSecr=0 SACK_PERM=1"
"58","2.030753000","74.125.226.82","172.20.7.83","TCP","66","443 > 56714 [ACK] Seq=1 Ack=518 Win=43648 Len=0 TSval=2513387220 TSecr=1626190144"
"59","2.031321000","74.125.226.82","172.20.7.83","TLSv1.2","220","Server Hello, Change Cipher Spec, Hello Request, Hello Request"
"60","2.031391000","172.20.7.83","74.125.226.82","TCP","66","56714 > 443 [ACK] Seq=518 Ack=155 Win=131712 Len=0 TSval=1626190289 TSecr=2513387220"
"61","2.035959000","172.20.7.83","74.125.226.82","TLSv1.2","282","Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"62","2.043447000","72.21.91.8","172.20.7.83","TCP","74","80 > 56717 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=2015222136 TSecr=1626190282 WS=512"
"63","2.043528000","172.20.7.83","72.21.91.8","TCP","66","56717 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626190301 TSecr=2015222136"
"64","2.045604000","72.21.91.8","172.20.7.83","TCP","74","80 > 56718 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=2015130063 TSecr=1626190282 WS=512"
"65","2.045677000","172.20.7.83","72.21.91.8","TCP","66","56718 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626190303 TSecr=2015130063"
"68","2.173448000","66.29.212.110","172.20.7.83","TCP","74","80 > 56716 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=258214754 TSecr=1626190269"
"69","2.173533000","172.20.7.83","66.29.212.110","TCP","66","56716 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626190430 TSecr=258214754"
"70","2.200106000","74.125.226.82","172.20.7.83","TLSv1.2","122","Application Data"
"71","2.200187000","172.20.7.83","74.125.226.82","TCP","66","56714 > 443 [ACK] Seq=734 Ack=211 Win=131648 Len=0 TSval=1626190456 TSecr=2513387392"
"72","2.200289000","74.125.226.82","172.20.7.83","TLSv1.2","108","Application Data"
"73","2.200330000","172.20.7.83","74.125.226.82","TCP","66","56714 > 443 [ACK] Seq=734 Ack=253 Win=131616 Len=0 TSval=1626190456 TSecr=2513387392"
